pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
0	1	0.0	859.6188	500.8689	0	894.0230	516.5982	0	876.8209	508.733
0	1	16.6	882.1603	509.2463	0	896.9775	512.9680	0	889.5689	511.107
0	1	33.4	862.9247	501.4947	0	905.7740	515.1402	0	884.3493	508.317
0	1	50.0	873.3343	507.3515	0	901.8058	520.4700	0	887.5701	513.910
0	1	66.6	871.3978	511.3742	0	899.3356	508.0291	0	885.3667	509.701
0	1	83.2	871.3428	497.1193	0	897.8403	510.7452	0	884.5915	503.932
0	2	0.0	886.4021	489.8512	0	907.5432	491.8995	0	896.9726	490.875
0	2	16.6	867.4714	473.3372	0	911.8447	495.8960	0	889.6580	484.616
0	2	33.3	874.4015	465.7289	0	902.7640	483.2795	0	888.5828	474.504
0	2	49.9	885.0734	474.7655	0	899.1047	487.2083	0	892.0890	480.986
0	2	66.6	936.1529	495.1582	0	956.7125	511.7304	0	946.4327	503.444
0	2	83.2	939.4586	503.7423	0	972.4817	497.1837	0	955.9701	500.463
0	3	0.0	920.2982	374.8740	0	941.2498	375.4251	0	930.7740	375.149
0	3	16.6	913.1919	379.5376	0	944.8883	388.0846	0	929.0401	383.811
0	3	33.4	911.4629	386.4111	0	947.5996	379.7463	0	929.5312	383.078
0	3	50.0	882.7413	410.2852	0	914.5222	425.5018	0	898.6317	417.893
0	3	66.6	890.6711	435.8485	0	901.5308	439.6347	0	896.1009	437.741
0	3	83.4	883.7659	438.1474	0	907.1293	438.5941	0	895.4476	438.370
0	4	0.0	961.7759	467.2515	0	975.5936	486.8378	0	968.6847	477.044
0	4	16.6	956.9644	482.9157	0	988.6457	488.2246	0	972.8050	485.570
0	4	33.2	946.9174	465.3126	0	972.4863	478.6571	0	959.7019	471.984
0	4	49.9	936.7811	493.1043	0	949.3420	497.3713	0	943.0616	495.237
0	4	66.6	933.7288	496.7706	0	962.7233	517.3846	0	948.2260	507.077
0	4	83.2	944.4795	491.6230	0	951.5323	510.7843	0	948.0059	501.203
0	5	0.0	910.3169	543.0214	0	932.2406	567.9433	0	921.2787	555.482
0	5	16.6	899.3510	553.3001	0	933.4687	568.7068	0	916.4098	561.003
0	5	33.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
0	5	50.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
0	5	66.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
0	5	83.2	909.2270	540.7090	0	917.4916	565.6164	0	913.3593	553.162
0	6	0.0	960.1648	568.0874	0	960.4173	578.3621	0	960.2911	573.224
0	6	16.6	946.7645	561.9784	0	958.5056	577.0006	0	952.6350	569.489
0	6	33.2	916.1550	545.0413	0	933.8772	557.3625	0	925.0161	551.201
0	6	49.9	918.5817	538.0671	0	936.7688	538.5440	0	927.6752	538.305
0	6	66.6	909.0007	512.5766	0	931.7265	543.1988	0	920.3636	527.887
0	6	83.2	914.7549	548.9213	0	924.7021	548.0423	0	919.7285	548.481
0	7	0.0	903.7664	534.8928	0	927.9756	547.0246	0	915.8710	540.958
0	7	16.6	910.3652	544.6504	0	932.1110	545.9397	0	921.2381	545.295
0	7	33.4	914.0874	547.0036	0	932.8906	547.4034	0	923.4890	547.203
0	7	50.0	913.0561	521.8363	0	926.4466	533.8217	0	919.7514	527.829
0	7	66.6	916.2721	549.2388	0	930.6993	545.3559	0	923.4857	547.297
0	7	83.2	901.9113	543.1787	0	938.4137	538.6145	0	920.1625	540.896
0	8	0.0	975.2536	606.2257	0	976.4995	612.4794	0	975.8766	609.352
0	8	16.6	975.8464	603.3755	0	977.0255	605.4849	0	976.4359	604.430
0	8	33.2	968.4236	608.1640	0	973.9894	607.0259	0	971.2065	607.594
0	8	50.0	961.7477	608.2431	0	973.2027	612.6201	0	967.4752	610.431
0	8	66.6	957.4170	596.9196	0	973.5407	617.5798	0	965.4789	607.249
0	8	83.2	974.7618	608.6631	0	971.9792	606.8758	0	973.3705	607.769
0	9	0.0	941.0129	589.9229	0	956.7800	602.0848	0	948.8965	596.003
0	9	16.6	937.0577	578.7606	0	967.0848	599.1620	0	952.0713	588.961
