Recording date:	2018/04/04
Recording time:	13:48:03
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	992.0256	540.9720	0	900.4998	540.8242	0	946.2627	540.8981	
16.6	982.5456	507.6026	0	961.6355	544.2901	0	972.0905	525.9464	
33.4	985.4380	545.8293	0	941.2952	542.1974	0	963.3666	544.0133	
50.0	973.4642	569.5803	0	951.4809	558.7886	0	962.4725	564.1845	
66.6	988.5848	572.0846	0	947.8378	571.1675	0	968.2113	571.6260	
83.2	980.7139	585.4601	0	935.7396	577.1040	0	958.2267	581.2820	
100.0	985.7513	573.4362	0	949.5609	565.6169	0	967.6561	569.5265	
116.6	972.4493	590.3506	0	955.0005	563.1334	0	963.7249	576.7420	
133.2	970.7893	573.1130	0	963.4839	575.5984	0	967.1366	574.3557	
149.9	987.4253	586.2460	0	963.8698	572.0638	0	975.6475	579.1549	
166.6	992.7860	566.1257	0	938.6583	588.4195	0	965.7222	577.2726	
183.2	986.6206	576.6279	0	956.9579	580.7046	0	971.7893	578.6662	
199.8	985.3537	570.5977	0	941.6246	570.6537	0	963.4892	570.6257	
216.5	976.2722	589.3071	0	930.1080	576.0739	0	953.1901	582.6905	
233.2	994.0166	595.7655	0	957.2616	530.3931	0	975.6391	563.0793	
249.8	965.0985	599.6542	0	958.5144	567.7215	0	961.8065	583.6878	
266.5	980.3733	563.7499	0	941.2574	588.2924	0	960.8153	576.0212	
283.1	975.6319	587.2755	0	938.1436	577.5972	0	956.8878	582.4364	
299.8	981.3982	578.3412	0	950.2821	588.5059	0	965.8402	583.4236	
316.5	987.6265	582.4486	0	948.0848	577.7273	0	967.8557	580.0879	
333.1	981.9533	577.8865	0	957.6659	571.6537	0	969.8096	574.7701	
349.7	967.4876	591.3590	0	967.1477	585.4364	0	967.3176	588.3977	
366.4	981.0881	599.8218	0	948.1666	567.8459	0	964.6274	583.8338	
383.1	974.1266	585.7057	0	946.2914	572.6841	0	960.2090	579.1949	
399.7	975.3931	582.5291	0	960.5753	563.0818	0	967.9842	572.8055	
416.3	966.6959	598.7867	0	957.4225	575.6223	0	962.0592	587.2045	
433.1	973.4654	591.1159	0	949.6829	561.9475	0	961.5742	576.5317	
449.7	972.0990	593.0980	0	946.4660	595.3259	0	959.2825	594.2119	
466.3	964.7630	585.2409	0	946.4108	592.2858	0	955.5869	588.7633	
482.9	969.7827	590.6187	0	955.3907	583.6475	0	962.5867	587.1331	
499.7	985.4160	579.0459	0	978.2228	572.9118	0	981.8194	575.9789	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	993.7417	597.2065	0	962.0867	579.7622	0	977.9142	588.4843	
16.6	989.5586	609.0457	0	960.8027	582.8128	0	975.1807	595.9293	
33.2	982.7575	600.0471	0	951.6273	584.2690	0	967.1924	592.1580	
49.9	977.9905	620.8746	0	973.3563	592.1768	0	975.6734	606.5257	
66.6	983.4395	577.1082	0	968.6689	584.5414	0	976.0542	580.8248	
83.2	989.7629	574.8225	0	969.2949	572.5838	0	979.5289	573.7032	
99.9	986.9214	596.1488	0	962.3073	583.8712	0	974.6143	590.0100	
116.5	992.8576	584.9589	0	959.4500	578.9771	0	976.1538	581.9680	
133.2	993.0092	593.3411	0	967.2329	566.2417	0	980.1211	579.7914	
149.8	963.6486	600.2359	0	971.1767	570.1220	0	967.4127	585.1789	
166.5	995.0670	584.3512	0	947.8993	586.3225	0	971.4831	585.3368	
183.1	978.1007	599.5948	0	958.6381	569.4157	0	968.3694	584.5053	
199.8	992.8187	588.0761	0	969.9313	568.6438	0	981.3750	578.3599	
216.5	988.6491	593.0061	0	970.1062	579.5005	0	979.3776	586.2533	
233.1	996.6001	581.3999	0	976.5330	573.8957	0	986.5666	577.6478	
249.7	981.3835	591.1940	0	959.6394	567.6734	0	970.5114	579.4337	
266.4	981.8118	600.3157	0	957.4733	565.1387	0	969.6426	582.7272	
283.1	987.5862	595.3673	0	967.6703	588.5325	0	977.6282	591.9499	
299.7	980.7107	594.2096	0	967.3588	577.1473	0	974.0347	585.6785	
316.3	984.4015	593.6124	0	962.9909	584.8238	0	973.6962	589.2181	
333.1	990.6793	572.8533	0	959.4223	588.0192	0	975.0508	580.4363	
349.7	989.7387	564.2969	0	953.9009	587.8678	0	971.8198	576.0823	
366.3	989.3335	569.2540	0	957.3656	593.1033	0	973.3496	581.1786	
382.9	985.9037	576.3944	0	974.5763	565.0989	0	980.2400	570.7467	
399.7	976.0046	601.9709	0	961.1373	571.8270	0	968.5709	586.8989	
416.3	985.3103	592.5594	0	967.4276	585.7518	0	976.3690	589.1556	
432.9	969.6352	603.6226	0	966.6417	566.7914	0	968.1385	585.2070	
449.5	973.7375	583.2768	0	974.3799	574.2628	0	974.0587	578.7698	
466.3	970.9946	577.7615	0	971.8168	575.8414	0	971.4057	576.8015	
482.9	984.4062	560.1901	0	973.5702	587.3552	0	978.9882	573.7727	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
33.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
50.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
66.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
83.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
99.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
116.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
149.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
166.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
183.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
199.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
216.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
233.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
249.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
266.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
283.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
299.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
316.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
333.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
349.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
366.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
383.1	996.3854	549.0010	0	971.1729	542.2008	0	983.7791	545.6009	
399.7	984.0122	558.1569	0	972.7657	544.8470	0	978.3889	551.5020	
416.3	973.0778	526.5859	0	967.5479	552.8369	0	970.3129	539.7114	
433.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
449.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
466.3	984.7094	568.2445	0	965.3247	564.2346	0	975.0171	566.2396	
482.9	980.5488	562.7739	0	965.3050	555.7982	0	972.9269	559.2861	
499.5	1000.5011	534.6557	0	955.4227	546.1835	0	977.9619	540.4196	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.2364	586.9440	0	983.3743	594.2890	0	978.3053	590.6165	
16.8	979.2492	577.5461	0	965.4889	607.3820	0	972.3691	592.4640	
33.4	968.7412	571.9996	0	984.3855	603.8142	0	976.5634	587.9069	
50.0	973.3830	584.7118	0	943.2787	599.9050	0	958.3308	592.3084	
66.7	981.1131	598.7910	0	949.0493	602.0563	0	965.0812	600.4236	
83.4	976.4109	589.5133	0	960.2764	612.1254	0	968.3437	600.8193	
100.0	976.1226	598.0515	0	961.6136	585.6776	0	968.8681	591.8646	
116.6	1013.1003	590.9872	0	969.8238	585.7453	0	991.4620	588.3662	
133.4	984.3494	607.3897	0	941.9607	591.0810	0	963.1550	599.2353	
150.0	978.7103	609.3819	0	950.6271	597.3509	0	964.6687	603.3664	
166.6	994.4021	606.0930	0	953.9208	584.6006	0	974.1615	595.3468	
183.2	1001.7330	600.5829	0	966.5383	590.0997	0	984.1356	595.3413	
199.8	999.6148	601.3365	0	956.5528	592.3584	0	978.0838	596.8474	
216.6	991.8764	620.7063	0	950.5630	585.0430	0	971.2197	602.8746	
233.2	991.3156	600.9600	0	969.6334	599.4563	0	980.4745	600.2081	
249.8	998.5766	593.4075	0	963.3244	593.0629	0	980.9505	593.2352	
266.5	995.1758	614.6507	0	980.9494	588.9961	0	988.0626	601.8234	
283.2	986.5126	598.6139	0	968.1582	595.4230	0	977.3354	597.0185	
299.8	982.9905	601.8279	0	957.5726	570.3740	0	970.2815	586.1010	
316.4	995.6208	611.8055	0	952.7264	595.7848	0	974.1736	603.7951	
333.1	981.9161	624.1651	0	955.2971	592.6073	0	968.6066	608.3862	
349.8	980.7737	611.9478	0	969.1841	602.2776	0	974.9789	607.1127	
366.4	1000.0128	588.8855	0	963.5578	580.6218	0	981.7853	584.7536	
383.1	977.7881	619.0967	0	957.9772	584.2618	0	967.8827	601.6792	
399.7	993.2815	617.3155	0	966.3987	566.1904	0	979.8401	591.7530	
416.4	989.3865	606.1680	0	960.8498	591.1499	0	975.1182	598.6590	
433.1	991.5329	611.5890	0	934.8906	605.1690	0	963.2117	608.3790	
449.7	989.4242	624.8579	0	952.2752	598.4929	0	970.8497	611.6754	
466.3	986.2641	602.5349	0	946.0848	589.2739	0	966.1745	595.9044	
483.1	982.2143	633.2723	0	955.9590	594.3604	0	969.0867	613.8164	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	983.3804	604.5615	0	943.7601	587.9432	0	963.5702	596.2524	
16.6	990.4401	596.2821	0	926.9987	580.5953	0	958.7194	588.4387	
33.4	979.7875	608.9711	0	945.3675	599.1103	0	962.5775	604.0407	
50.0	981.6757	600.8152	0	951.5350	589.0343	0	966.6053	594.9247	
66.6	982.2841	606.5892	0	963.0245	591.9534	0	972.6543	599.2713	
83.2	975.9236	608.9716	0	966.1856	586.4503	0	971.0546	597.7109	
100.0	995.3383	611.2837	0	970.5271	583.7622	0	982.9327	597.5229	
116.6	984.9675	602.7089	0	952.5021	585.9296	0	968.7348	594.3193	
133.2	979.4048	614.0399	0	944.8846	586.7288	0	962.1447	600.3843	
149.9	991.6202	590.5676	0	942.2418	579.0333	0	966.9310	584.8004	
166.6	1005.6260	580.7938	0	949.7309	585.1563	0	977.6785	582.9751	
183.2	989.2608	592.6093	0	950.6907	585.4738	0	969.9758	589.0415	
199.8	990.0478	610.2821	0	938.7463	601.6181	0	964.3971	605.9501	
216.5	998.0968	627.2796	0	953.4559	589.1668	0	975.7763	608.2232	
233.2	991.4787	595.9472	0	950.2859	581.0790	0	970.8823	588.5131	
249.8	986.6486	617.6172	0	954.3224	593.2731	0	970.4855	605.4451	
266.5	995.3528	612.7870	0	956.4577	585.4664	0	975.9052	599.1267	
283.1	996.8040	593.5114	0	963.1470	580.4210	0	979.9755	586.9662	
299.8	998.8107	586.3149	0	958.8990	582.1515	0	978.8549	584.2332	
316.5	1007.7726	583.5481	0	949.7566	583.3803	0	978.7646	583.4642	
333.1	993.3661	607.5984	0	947.0837	578.7398	0	970.2249	593.1691	
349.7	988.6910	612.5415	0	961.5411	568.9241	0	975.1161	590.7328	
366.4	988.8204	611.3914	0	960.6776	570.4429	0	974.7490	590.9171	
383.1	983.7433	610.2201	0	942.3237	586.5396	0	963.0335	598.3799	
399.7	986.0999	612.9898	0	950.2487	594.3056	0	968.1743	603.6477	
416.3	997.1077	628.1500	0	943.9446	586.2479	0	970.5262	607.1990	
433.1	992.5399	616.0078	0	920.6399	579.8086	0	956.5899	597.9082	
449.7	1022.4763	590.7737	0	953.1422	591.6543	0	987.8093	591.2140	
466.3	981.5804	607.7215	0	945.5115	592.1049	0	963.5459	599.9132	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	978.7860	638.2381	0	961.1107	598.2129	0	969.9483	618.2255	
16.7	975.1895	638.3324	0	951.8632	603.5723	0	963.5264	620.9523	
33.4	975.6863	636.7651	0	950.5616	614.7840	0	963.1239	625.7746	
50.0	965.2462	655.1589	0	968.4486	613.2849	0	966.8474	634.2219	
66.6	968.4001	630.4212	0	967.8897	582.1937	0	968.1449	606.3075	
83.4	962.3912	652.4750	0	954.7233	589.6625	0	958.5573	621.0688	
100.0	962.3647	620.9108	0	954.3581	583.0178	0	958.3614	601.9643	
116.6	961.2109	630.5793	0	951.3354	596.0649	0	956.2731	613.3221	
133.2	952.7072	648.4304	0	957.6463	606.0523	0	955.1767	627.2414	
150.0	977.8662	636.8873	0	970.5079	608.4677	0	974.1870	622.6775	
166.6	970.0668	646.2037	0	950.7106	589.6075	0	960.3887	617.9056	
183.2	961.5360	656.2043	0	960.2832	594.7066	0	960.9096	625.4554	
199.8	961.3693	633.4472	0	948.7041	638.5310	0	955.0367	635.9891	
216.6	954.7011	642.5645	0	937.0531	599.8928	0	945.8771	621.2286	
233.2	967.3932	627.1414	0	932.5554	590.7254	0	949.9743	608.9334	
249.8	975.6036	625.1760	0	945.9036	609.0455	0	960.7536	617.1107	
266.5	957.3190	645.1958	0	954.3840	605.4368	0	955.8515	625.3163	
283.2	970.1628	635.9496	0	946.4207	611.3472	0	958.2917	623.6484	
299.8	957.1879	617.9729	0	953.9263	608.2773	0	955.5571	613.1251	
316.5	951.3458	632.3704	0	954.1354	601.6519	0	952.7406	617.0111	
333.1	958.2279	635.3383	0	947.2613	589.9804	0	952.7446	612.6593	
349.8	964.6393	631.6420	0	959.5104	593.4242	0	962.0748	612.5331	
366.4	981.2263	630.2831	0	960.5672	608.2736	0	970.8967	619.2784	
383.1	968.1373	625.1180	0	966.9082	591.0395	0	967.5228	608.0788	
399.7	980.2544	625.2763	0	952.0560	599.8993	0	966.1552	612.5878	
416.4	966.3228	648.2456	0	950.7602	599.9976	0	958.5415	624.1216	
433.1	957.6606	625.2598	0	962.2132	602.2255	0	959.9369	613.7427	
449.7	962.0354	633.2971	0	941.7496	595.0611	0	951.8925	614.1791	
466.3	952.0533	636.7134	0	945.6491	602.7954	0	948.8512	619.7544	
483.0	966.3169	642.0609	0	950.6576	611.8194	0	958.4872	626.9401	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	964.3186	609.3507	0	951.5358	570.5821	0	957.9272	589.9664	
16.6	986.8609	596.1948	0	953.7476	584.3695	0	970.3043	590.2822	
33.4	991.4980	589.6822	0	962.5288	586.9799	0	977.0134	588.3310	
50.0	977.5148	609.3775	0	945.2594	576.1085	0	961.3871	592.7430	
66.6	978.8693	609.0147	0	957.2141	576.1503	0	968.0417	592.5825	
83.2	988.0265	595.9291	0	970.1684	587.6204	0	979.0975	591.7747	
100.0	982.2248	599.5237	0	957.2474	576.4774	0	969.7361	588.0006	
116.6	959.3480	576.5714	0	953.2773	575.1694	0	956.3127	575.8704	
133.2	1003.4723	583.4064	0	960.6199	586.2948	0	982.0461	584.8506	
149.9	978.4472	583.3255	0	955.2473	567.4428	0	966.8473	575.3841	
166.6	983.5578	595.6927	0	965.8293	573.0714	0	974.6935	584.3820	
183.2	935.8014	592.7895	0	961.3502	577.8279	0	948.5758	585.3087	
199.8	999.4807	589.7863	0	930.1709	580.6399	0	964.8258	585.2131	
216.5	983.3998	576.1187	0	955.0463	580.9170	0	969.2230	578.5178	
233.2	979.9606	596.7279	0	954.8090	576.8247	0	967.3848	586.7763	
249.8	980.8214	607.4618	0	948.5027	570.8150	0	964.6620	589.1384	
266.5	973.8647	623.0046	0	949.3276	566.4985	0	961.5961	594.7516	
283.1	978.7159	598.7615	0	950.0634	579.3202	0	964.3896	589.0408	
