Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,498,760
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,545,386
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,543,793
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,268,684
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,828,773
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,713,168
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,730,408
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,1559,239
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,566,1044
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,329,499
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,376,662
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,1263,187
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,149,703
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,223,501
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,1043,485
richard,1,0,0.1,1522786975.46404,1522786975.56591,16,18,0.875,10,10,1153,533
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1123,907
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1388,232
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1261,292
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,43,702
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1470,446
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,977,887
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1596,558
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1018,974
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1607,198
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1132,703
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,380,355
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,657,306
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1008,192
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,1404,730
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,590,845
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,372,486
richard,1,1,0.1,1522786984.30768,1522786984.40781,17,23,0.6470588235,10,10,541,1030
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,414,1043
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,199,1050
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,970,651
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1603,793
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1219,655
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1080,174
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1614,39
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1304,440
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,871,53
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,206,815
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,549,897
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,61,338
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,735,94
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,921,754
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,682,750
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,875,625
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,820,238
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,973,913
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,478,1055
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1519,811
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1551,976
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,613,361
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,397,122
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,913,483
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,272,760
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,698,374
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,864,721
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1119,431
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1363,558
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1362,913
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,355,123
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,599,813
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,832,1049
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,596,899
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,717,226
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,305,234
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1438,629
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1197,110
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,419,320
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1020,777
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,661,20
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,144,512
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,556,262
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,419,973
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1423,469
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,234,120
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,502,603
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,152,38
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1375,421
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1151,701
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1445,961
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,709,807
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,304,191
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,186,123
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,740,323
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,53,855
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1560,568
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,184,45
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,668,940
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,110,176
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1496,549
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1119,626
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,405,493
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,910,556
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,90,947
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1644,783
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1065,1024
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,799,705
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1694,769
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1027,990
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,337,850
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1124,26
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1665,1034
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,452,296
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,32,498
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1501,127
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1483,173
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1359,712
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,299,503
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,562,164
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,707,664
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,795,146
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1670,849
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1690,440
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,607,571
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,197,968
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,474,732
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1319,65
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,438,582
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,999,541
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,270,49
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,907,996
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,772,628
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1425,212
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,509,428
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,727,948
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,444,431
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,41,224
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,85,451
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1293,339
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,425,894
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1700,1007
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1667,365
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,934,38
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,724,468
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1630,677
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,984,615
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1394,1024
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,967,495
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,340,645
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,132,462
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1489,759
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1410,519
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1620,249
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,708,257
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,1418,354
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,523,468
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,666,400
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,754,891
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,858,110
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,687,607
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,83,396
richard,1,2,0.1,1522786992.0725,1522786992.18277,123,61,0.4959349593,10,10,360,454
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,976,518
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1445,523
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,222,228
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1505,890
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,422,947
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,183,886
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1254,204
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1627,350
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,602,163
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1381,54
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,837,210
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,298,373
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1127,1027
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1516,954
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1184,209
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1593,968
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,446,299
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1294,1008
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,237,475
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1388,311
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1674,369
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,444,644
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,992,336
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,603,35
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1570,507
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1383,358
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,806,701
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1027,814
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,782,780
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1552,72
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1142,399
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,452,615
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1537,567
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,907,659
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1389,1021
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,806,911
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,126,566
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,365,807
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,966,184
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1684,524
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,628,249
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,298,859
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1376,670
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,313,899
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1549,215
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1145,158
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1681,707
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1090,169
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,440,397
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,1161,789
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,361,119
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,51,871
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,699,576
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,463,249
richard,1,3,0.1,1522787001.03529,1522787001.13697,119,50,0.4201680672,10,10,146,436
