Recording date:	2018/04/03
Recording time:	14:39:22
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	938.4288	589.0722	0	961.2623	594.1560	0	949.8455	591.6141	
16.6	931.0388	609.7925	0	974.0357	601.2486	0	952.5372	605.5206	
33.4	944.9514	582.7163	0	973.1365	591.5187	0	959.0439	587.1175	
50.0	938.3436	582.7840	0	977.6590	613.4440	0	958.0013	598.1140	
66.6	945.0965	573.9949	0	973.0337	581.5762	0	959.0651	577.7856	
83.2	945.9246	570.0225	0	956.9897	595.6707	0	951.4572	582.8466	
100.0	977.3811	579.3459	0	965.9163	589.6788	0	971.6487	584.5124	
116.6	959.7074	567.5191	0	961.9014	583.0253	0	960.8044	575.2722	
133.2	947.9478	569.4287	0	970.4415	613.6301	0	959.1947	591.5294	
150.0	933.9871	553.4960	0	960.3559	588.1642	0	947.1715	570.8301	
166.6	975.0374	587.2344	0	977.4257	593.0968	0	976.2315	590.1656	
183.2	949.2345	574.8317	0	974.8907	592.7202	0	962.0626	583.7759	
199.8	958.4856	598.6061	0	963.8738	596.8179	0	961.1797	597.7120	
216.6	957.2106	593.5169	0	963.0782	593.4893	0	960.1444	593.5031	
233.2	946.2386	564.6436	0	959.0756	613.5820	0	952.6571	589.1128	
249.8	968.0860	592.9026	0	965.1243	602.1270	0	966.6051	597.5148	
266.4	959.0561	605.8762	0	971.6626	600.7907	0	965.3594	603.3335	
283.1	945.3573	593.1460	0	981.5601	588.5660	0	963.4587	590.8560	
299.9	953.8733	588.7301	0	975.3718	608.9138	0	964.6225	598.8220	
316.4	945.7406	584.4988	0	972.9701	616.0680	0	959.3553	600.2834	
333.1	961.4029	595.8564	0	967.1998	608.6526	0	964.3013	602.2545	
349.8	947.1854	584.3341	0	965.2176	605.4656	0	956.2015	594.8999	
366.4	924.8206	536.1955	0	949.9284	577.1374	0	937.3745	556.6664	
383.1	861.0190	430.2367	0	908.0720	432.7584	0	884.5455	431.4975	
399.7	861.4190	314.7168	0	892.6490	333.5438	0	877.0340	324.1303	
416.4	874.1483	276.2892	0	896.1945	284.6961	0	885.1714	280.4926	
432.9	877.8104	291.1022	0	892.0222	298.9369	0	884.9163	295.0195	
449.7	881.4877	284.7302	0	891.5989	296.7749	0	886.5433	290.7525	
466.3	872.7127	300.4075	0	889.7815	307.6109	0	881.2471	304.0092	
482.9	874.1388	268.8623	0	872.6196	284.3181	0	873.3792	276.5902	
499.7	874.3167	258.2691	0	875.8123	288.6666	0	875.0645	273.4678	
516.3	854.1803	268.5504	0	868.0052	286.3070	0	861.0927	277.4287	
533.0	862.4143	270.1500	0	873.9488	277.0657	0	868.1815	273.6079	
549.5	885.5913	267.4081	0	877.4390	284.7986	0	881.5151	276.1034	
566.3	880.2959	265.6978	0	887.2849	280.9907	0	883.7904	273.3442	
582.9	876.6902	266.3244	0	878.4328	303.9613	0	877.5615	285.1429	
599.5	866.6946	275.3713	0	867.4908	286.3789	0	867.0927	280.8751	
616.1	862.3914	258.0150	0	870.8187	287.8109	0	866.6051	272.9130	
632.9	862.5830	267.3697	0	869.0320	264.6781	0	865.8075	266.0239	
