Recording date:	2018/04/03
Recording time:	15:15:17
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
33.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
49.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
66.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
83.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
99.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
116.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
149.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
166.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
183.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
199.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
216.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
233.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
249.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
266.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
283.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
299.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
316.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
333.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
349.6	-1.0000	-1.0000	4	885.2538	485.1089	0	0.4611	0.4043	
366.2	858.0188	452.7985	0	891.9938	455.6770	0	875.0063	454.2378	
382.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
399.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
416.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
432.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
449.4	580.0733	392.0642	0	607.9897	420.3379	0	594.0315	406.2010	
466.2	633.7868	381.6457	0	613.7690	352.7609	0	623.7779	367.2033	
482.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
499.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
516.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
532.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
549.4	632.2713	447.4894	0	608.5237	346.1926	0	620.3975	396.8410	
566.0	595.7784	369.1813	0	617.3996	352.7309	0	606.5890	360.9561	
582.6	605.0210	386.0382	0	563.6255	359.9999	0	584.3232	373.0190	
599.7	-1.0000	-1.0000	4	586.9871	441.0785	0	0.3057	0.3676	
616.4	662.5452	358.2906	0	-1.0000	-1.0000	4	0.3451	0.2986	
633.1	-1.0000	-1.0000	4	557.6876	403.1634	0	0.2905	0.3360	
649.7	638.5965	459.4505	0	-1.0000	-1.0000	4	0.3326	0.3829	
