Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1080,352
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,516,430
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1330,897
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1209,537
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1090,909
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,747,93
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,399,515
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1354,977
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,301,592
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,669,301
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,335,272
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1602,194
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1669,973
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1501,418
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,837,690
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,302,886
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,602,142
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,146,342
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,879,669
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,734,323
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,210,780
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1158,602
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,877,734
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,54,501
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,751,375
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,254,23
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,34,919
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1485,802
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1216,1034
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,279,476
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,207,218
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1633,903
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1083,601
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,319,544
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,275,291
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,389,1028
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1254,37
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1299,932
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,880,888
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,301,739
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,906,281
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,473,687
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,58,980
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1017,322
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,647,279
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1493,107
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1379,480
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,210,812
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,434,161
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1598,231
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1123,948
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1597,659
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,982,715
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1671,307
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,289,634
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,166,465
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,842,891
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,505,871
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,172,999
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1244,433
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1512,870
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,1219,54
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,415,297
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,760,26
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,724,38
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,257,557
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,260,1005
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,27,482
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,839,838
frank,1,0,0.5,1522864142.066574,1522864142.574287,115,240,0,10,10,377,74
