Recording date:	2018/04/02
Recording time:	15:59:40
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	1041.5592	546.3220	0	1005.5222	562.4695	0	1023.5407	554.3957	
16.7	1010.9441	517.1905	0	968.0844	560.6697	0	989.5143	538.9301	
33.4	1006.1104	501.7326	0	958.7634	537.8539	0	982.4369	519.7933	
50.0	1002.3709	531.9814	0	986.2560	518.5477	0	994.3134	525.2646	
66.7	1033.8352	520.6256	0	1013.1784	546.9016	0	1023.5068	533.7636	
83.4	995.4441	541.7901	0	993.7051	545.5928	0	994.5746	543.6914	
100.0	1047.2523	510.5981	0	1011.5532	521.6627	0	1029.4027	516.1304	
116.6	976.2526	593.5100	0	976.3354	560.2634	0	976.2940	576.8867	
133.4	991.8715	527.0100	0	977.8355	572.9356	0	984.8535	549.9728	
150.0	994.6944	624.6508	0	1010.7175	529.3283	0	1002.7059	576.9896	
166.6	1003.8638	494.1091	0	992.4577	496.2931	0	998.1608	495.2011	
183.3	1019.1230	556.3340	0	1022.2904	530.4322	0	1020.7067	543.3831	
199.8	1063.1800	481.5899	0	1021.3384	560.8643	0	1042.2592	521.2271	
216.6	1062.6773	479.5844	0	1023.1412	530.1824	0	1042.9093	504.8834	
233.2	1012.5396	508.5607	0	993.0084	549.5691	0	1002.7740	529.0649	
249.8	964.3675	654.4648	0	971.2777	496.3021	0	967.8226	575.3835	
266.6	1046.1159	578.7556	0	1004.5098	514.3558	0	1025.3128	546.5557	
283.2	979.5537	588.4531	0	1009.7351	533.1024	0	994.6444	560.7778	
299.8	944.7543	530.7561	0	1025.4619	516.1629	0	985.1081	523.4595	
316.4	1049.4237	470.3580	0	988.9946	500.9491	0	1019.2092	485.6535	
333.2	1089.1096	393.4252	0	998.3202	529.1713	0	1043.7149	461.2982	
349.8	1013.0440	391.1936	0	971.8190	517.1288	0	992.4315	454.1612	
366.4	963.3518	537.0239	0	1011.5389	485.5301	0	987.4453	511.2770	
383.1	1009.2077	549.7465	0	971.3735	539.5780	0	990.2906	544.6622	
399.7	987.2922	410.1789	0	1024.5645	502.8479	0	1005.9283	456.5134	
416.4	979.5405	535.5328	0	993.2182	500.7009	0	986.3794	518.1168	
433.0	983.1878	469.4740	0	980.9474	542.9269	0	982.0676	506.2004	
449.8	992.4489	527.1376	0	1024.7921	548.6060	0	1008.6205	537.8718	
466.4	1017.2390	430.1442	0	985.8649	557.9794	0	1001.5520	494.0618	
483.0	994.7349	553.8757	0	981.6567	521.1634	0	988.1958	537.5195	
499.7	1051.6497	494.7307	0	961.6489	529.5177	0	1006.6493	512.1242	
516.3	1002.2264	558.6927	0	995.7009	523.9390	0	998.9637	541.3158	
533.0	998.7022	553.6170	0	986.7526	545.1713	0	992.7274	549.3941	
549.7	1045.9740	478.9228	0	987.5955	526.1238	0	1016.7848	502.5233	
566.3	955.1343	626.3974	0	964.7768	522.7415	0	959.9555	574.5695	
582.9	995.3584	552.1062	0	974.7338	494.2253	0	985.0461	523.1658	
599.6	1019.7414	533.0924	0	1002.4885	581.9704	0	1011.1150	557.5314	
616.3	951.3606	555.3533	0	1013.3780	566.6450	0	982.3693	560.9991	
632.9	1013.5897	536.0293	0	1028.4035	507.4528	0	1020.9966	521.7411	
649.5	998.9046	570.4668	0	1051.9087	506.0785	0	1025.4066	538.2726	
666.3	1017.8011	533.5259	0	985.1762	531.1250	0	1001.4887	532.3254	
682.9	946.3480	544.3698	0	955.0216	544.9102	0	950.6848	544.6400	
699.5	958.1339	580.9311	0	943.2460	519.5941	0	950.6899	550.2626	
716.1	946.8785	547.6749	0	986.5202	510.8276	0	966.6994	529.2512	
732.9	975.4497	600.5655	0	967.7237	485.2739	0	971.5867	542.9197	
749.4	1024.4466	632.4047	0	978.3251	516.1029	0	1001.3859	574.2538	
766.1	936.0644	528.7479	0	994.7978	505.9681	0	965.4311	517.3580	
782.7	955.3533	561.7822	0	960.6591	537.2036	0	958.0062	549.4929	
799.5	922.3381	559.1317	0	1006.1469	557.5129	0	964.2425	558.3223	
816.1	1010.7107	528.9629	0	962.9832	553.4017	0	986.8470	541.1823	
832.7	988.0269	558.7325	0	994.6345	541.7836	0	991.3307	550.2581	
849.4	968.7242	532.5009	0	990.3135	577.1777	0	979.5189	554.8393	
866.0	975.3416	562.5629	0	1003.2360	536.3362	0	989.2888	549.4495	
882.7	1030.0958	463.3164	0	1000.2810	534.4153	0	1015.1884	498.8658	
899.4	1007.7179	543.8251	0	970.1229	556.1293	0	988.9204	549.9772	
916.0	996.7073	497.7257	0	1014.4918	506.2376	0	1005.5995	501.9817	
932.6	1041.5996	481.6801	0	974.8807	586.7348	0	1008.2402	534.2074	
949.3	1007.5327	559.8843	0	1002.9800	490.0211	0	1005.2563	524.9527	
966.0	1064.4518	481.2926	0	980.7778	538.1560	0	1022.6148	509.7243	
982.6	1059.1885	502.6668	0	992.0126	553.9493	0	1025.6006	528.3080	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	1011.9408	525.2545	0	1037.6610	544.3801	0	1024.8009	534.8173	
16.6	1006.0208	567.9135	0	1018.8946	590.1870	0	1012.4577	579.0502	
33.4	993.5983	527.8300	0	1008.2527	552.9362	0	1000.9255	540.3831	
50.0	1036.0815	574.7450	0	1003.0177	546.4100	0	1019.5496	560.5775	
66.6	1005.0955	559.4583	0	1021.7910	558.3245	0	1013.4432	558.8914	
83.2	1009.9240	590.2730	0	1060.0979	565.0529	0	1035.0109	577.6629	
99.9	1026.0311	572.4136	0	1032.1005	528.9423	0	1029.0658	550.6779	
116.6	1003.1331	596.2024	0	1055.0883	549.9567	0	1029.1107	573.0795	
133.2	994.4093	597.0647	0	1011.8378	543.5634	0	1003.1236	570.3141	
149.9	1016.2194	520.4194	0	1043.5945	572.7012	0	1029.9069	546.5603	
