Recording date:	2018/04/02
Recording time:	15:43:11
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	1922.5521	-315.8557	0	2054.2690	-426.5237	0	1988.4106	-371.1897	
16.7	1930.2281	-322.9772	0	2079.9080	-468.8697	0	2005.0680	-395.9234	
33.4	2163.2840	-692.7165	0	1827.0205	-181.9924	0	1995.1522	-437.3544	
50.0	2177.9292	-777.4988	0	1814.9761	-161.1469	0	1996.4526	-469.3229	
66.6	2185.0398	-781.6262	0	1814.3744	-182.5206	0	1999.7071	-482.0734	
83.4	2173.1197	-747.8462	0	1834.6175	-187.0319	0	2003.8686	-467.4391	
100.0	1905.9625	-79.0193	0	1848.6444	-171.4294	0	1877.3034	-125.2244	
116.6	1896.6188	-172.3543	0	1887.5713	-167.0633	0	1892.0950	-169.7088	
133.2	1888.3797	-179.5326	0	1887.6811	-189.7328	0	1888.0304	-184.6327	
149.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
166.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
182.9	1846.6193	6.2974	0	1678.0071	-25.8338	0	1762.3132	-9.7682	
199.5	1957.0004	-272.8676	0	-1.0000	-1.0000	4	1.0193	-0.2274	
216.2	1951.0702	-284.4759	0	-1.0000	-1.0000	4	1.0162	-0.2371	
232.8	1952.2645	-258.3655	0	-1.0000	-1.0000	4	1.0168	-0.2153	
249.5	1945.4369	-274.2474	0	-1.0000	-1.0000	4	1.0132	-0.2285	
266.2	1907.9963	-203.2312	0	-1.0000	-1.0000	4	0.9937	-0.1694	
282.8	1937.2906	-216.8997	0	-1.0000	-1.0000	4	1.0090	-0.1807	
299.4	1324.4293	394.7028	0	1326.9690	402.9981	0	1325.6991	398.8504	
316.1	1189.0502	476.1692	0	1180.4067	489.9676	0	1184.7285	483.0684	
332.8	1192.4823	473.3989	0	1189.9875	497.7829	0	1191.2349	485.5909	
349.4	1195.7415	475.8371	0	1175.1015	484.9422	0	1185.4215	480.3897	
366.0	1197.3124	483.4568	0	1181.5826	501.1902	0	1189.4475	492.3235	
382.8	1199.1944	498.3339	0	1171.5244	477.5350	0	1185.3594	487.9344	
399.4	1190.1581	485.0902	0	1179.5926	480.2065	0	1184.8754	482.6484	
416.0	1200.1634	498.6070	0	1160.6715	494.0866	0	1180.4174	496.3468	
432.6	1209.5561	487.6077	0	1166.9182	502.5454	0	1188.2371	495.0766	
449.4	1206.0670	491.3883	0	1175.0628	495.8676	0	1190.5649	493.6279	
466.0	1196.6604	495.8786	0	1167.0408	477.8720	0	1181.8506	486.8753	
482.6	1205.6625	497.9567	0	1176.9518	498.8221	0	1191.3071	498.3894	
